property_type;property_type;FREQUENCY
Private room in guesthouse;Private room in guesthouse;31
Entire home;Entire home;182
Private room in rental unit;Private room in rental unit;1190
Entire rental unit;Entire rental unit;3773
Private room in home;Entire rental unit;670
Entire condo;Private room in rental unit;751
Shared room in home;Private room in rental unit;23
Private room in condo;Private room in home;247
Entire villa;Entire rental unit;15
Private room in bed and breakfast;Entire condo;125
Casa particular;Entire rental unit;13
Entire loft;Entire rental unit;178
Private room;Private room in home;35
Room in serviced apartment;Private room in home;24
Entire serviced apartment;Private room in rental unit;365
Shared room in rental unit;Private room in rental unit;53
Private room in casa particular;Entire rental unit;90
Room in bed and breakfast;Private room in rental unit;3
Private room in guest suite;Private room in rental unit;58
Shared room in hostel;Private room in rental unit;12
Private room in townhouse;Entire rental unit;18
Shared room in loft;Private room in rental unit;1
Tiny home;Private room in home;2
Private room in hostel;Private room in rental unit;86
Entire cabin;Private room in rental unit;31
Entire place;Private room in rental unit;18
Private room in serviced apartment;Entire rental unit;89
Entire guesthouse;Private room in rental unit;24
Private room in farm stay;Entire rental unit;2
Entire bungalow;Entire rental unit;4
Entire guest suite;Private room in rental unit;20
Private room in boat;Private room in home;1
Entire chalet;Private room in rental unit;19
Shared room in bed and breakfast;Shared room in home;16
Private room in loft;Entire rental unit;11
Private room in nature lodge;Entire rental unit;6
Shared room in condo;Private room in home;10
Shared room in guesthouse;Entire rental unit;3
Private room in bungalow;Private room in home;22
Private room in villa;Entire rental unit;5
Entire vacation home;Private room in rental unit;92
Room in aparthotel;Private room in rental unit;6
Private room in cabin;Private room in rental unit;7
Entire cottage;Private room in condo;5
Shared room;Private room in rental unit;4
Private room in vacation home;Entire rental unit;22
Private room in cottage;Private room in home;3
Room in hostel;Private room in rental unit;16
Private room in floor;Entire rental unit;2
Shared room in serviced apartment;Private room in rental unit;4
Room in boutique hotel;Entire rental unit;47
Entire townhouse;Private room in rental unit;7
Private room in tiny home;Entire rental unit;7
Private room in chalet;Private room in rental unit;5
Camper/RV;Entire condo;7
Shared room in casa particular;Entire condo;6
Private room in dorm;Private room in rental unit;1
Shared room in guest suite;Entire rental unit;2
Private room in earthen home;Private room in rental unit;5
Room in hotel;Private room in rental unit;70
Bus;Private room in rental unit;2
Shared room in earthen home;Private room in rental unit;2
Pension;Entire villa;1
Private room in camper/rv;Private room in rental unit;5
Private room in bus;Private room in home;1
Hut;Entire rental unit;1
Shared room in tiny home;Private room in rental unit;2
Dome;Private room in rental unit;1
Private room in barn;Private room in rental unit;1
Treehouse;Private room in condo;2
Entire home/apt;Private room in home;1
Private room in pension;Entire rental unit;3
Farm stay;Private room in bed and breakfast;1
Castle;Private room in rental unit;1
Private room in castle;Private room in rental unit;2
Shared room in bungalow;Entire rental unit;1
Yurt;Entire rental unit;1
Shipping container;Private room in home;1
Private room in dome;Private room in rental unit;1
;Private room in bed and breakfast;
;Private room in rental unit;
;Entire rental unit;
;Entire condo;
;Entire rental unit;
;Private room in rental unit;
;Private room in rental unit;
;Entire rental unit;
;Entire rental unit;
;Private room in home;
;Entire rental unit;
;Private room in home;
;Private room in home;
;Private room in home;
;Entire rental unit;
;Private room in home;
;Private room in home;
;Entire rental unit;
;Private room in rental unit;
;Entire rental unit;
;Entire rental unit;
;Entire rental unit;
;Entire rental unit;
;Private room in rental unit;
;Entire rental unit;
;Entire rental unit;
;Private room in rental unit;
;Entire rental unit;
;Private room in rental unit;
;Private room in rental unit;
;Private room in home;
;Entire rental unit;
;Casa particular;
;Entire rental unit;
;Entire rental unit;
;Entire rental unit;
;Private room in rental unit;
;Private room in rental unit;
;Entire rental unit;
;Entire rental unit;
;Entire rental unit;
;Private room in rental unit;
;Private room in home;
;Entire rental unit;
;Entire rental unit;
;Entire rental unit;
;Entire rental unit;
;Private room in rental unit;
;Entire rental unit;
;Entire rental unit;
;Entire rental unit;
;Private room in rental unit;
;Entire condo;
;Entire rental unit;
;Entire condo;
;Entire condo;
;Entire rental unit;
;Entire rental unit;
;Entire rental unit;
;Entire rental unit;
;Private room in rental unit;
;Entire rental unit;
;Entire rental unit;
;Private room in rental unit;
;Entire rental unit;
;Entire loft;
;Private room in rental unit;
;Entire rental unit;
;Entire rental unit;
;Entire home;
;Entire rental unit;
;Entire rental unit;
;Entire rental unit;
;Entire rental unit;
;Private room in home;
;Entire rental unit;
;Private room in rental unit;
;Entire rental unit;
;Private room in rental unit;
;Entire rental unit;
;Private room in condo;
;Private room in home;
;Entire rental unit;
;Entire rental unit;
;Entire rental unit;
;Entire rental unit;
;Entire rental unit;
;Entire rental unit;
;Entire rental unit;
;Private room in home;
;Private room in rental unit;
;Entire rental unit;
;Entire rental unit;
;Entire rental unit;
;Entire rental unit;
;Entire villa;
;Entire rental unit;
;Entire rental unit;
;Entire rental unit;
;Private room;
;Entire loft;
;Entire loft;
;Entire loft;
;Entire rental unit;
;Room in serviced apartment;
;Private room in rental unit;
;Entire loft;
;Entire condo;
;Private room in rental unit;
;Private room in rental unit;
;Private room in home;
;Private room in rental unit;
;Entire rental unit;
;Private room in rental unit;
;Private room in rental unit;
;Entire rental unit;
;Entire rental unit;
;Private room in rental unit;
;Private room in home;
;Entire rental unit;
;Entire rental unit;
;Entire rental unit;
;Entire serviced apartment;
;Private room in home;
;Private room in rental unit;
;Entire rental unit;
;Entire rental unit;
;Private room in home;
;Shared room in rental unit;
;Entire rental unit;
;Private room in home;
;Private room in home;
;Entire condo;
;Entire rental unit;
;Private room in rental unit;
;Private room in rental unit;
;Private room in casa particular;
;Entire condo;
;Entire rental unit;
;Entire rental unit;
;Entire rental unit;
;Entire rental unit;
;Entire rental unit;
;Entire rental unit;
;Private room in rental unit;
;Private room in rental unit;
;Private room in home;
;Private room in home;
;Entire condo;
;Private room in rental unit;
;Private room in rental unit;
;Private room in home;
;Entire condo;
;Entire condo;
;Private room in home;
;Private room in rental unit;
;Entire rental unit;
;Entire rental unit;
;Private room in rental unit;
;Entire loft;
;Entire condo;
;Private room in home;
;Private room in rental unit;
;Entire rental unit;
;Private room in home;
;Entire rental unit;
;Entire rental unit;
;Entire rental unit;
;Private room in guesthouse;
;Shared room in rental unit;
;Private room in rental unit;
;Entire home;
;Private room in rental unit;
;Entire rental unit;
;Entire condo;
;Entire rental unit;
;Entire rental unit;
;Entire condo;
;Entire rental unit;
;Entire rental unit;
;Entire serviced apartment;
;Entire serviced apartment;
;Entire rental unit;
;Entire rental unit;
;Entire rental unit;
;Entire rental unit;
;Entire rental unit;
;Shared room in rental unit;
;Entire rental unit;
;Entire rental unit;
;Private room in rental unit;
;Entire rental unit;
;Entire rental unit;
;Entire rental unit;
;Private room in rental unit;
;Entire rental unit;
;Entire rental unit;
;Entire rental unit;
;Room in bed and breakfast;
;Entire rental unit;
;Entire rental unit;
;Entire condo;
;Private room in rental unit;
;Private room in rental unit;
;Entire rental unit;
;Entire rental unit;
;Private room in rental unit;
;Private room in rental unit;
;Private room in rental unit;
;Entire rental unit;
;Entire rental unit;
;Entire rental unit;
;Private room in guest suite;
;Private room in rental unit;
;Private room in condo;
;Entire rental unit;
;Entire rental unit;
;Private room in condo;
;Entire condo;
;Entire rental unit;
;Entire rental unit;
;Entire rental unit;
;Entire rental unit;
;Entire rental unit;
;Entire rental unit;
;Private room in condo;
;Entire rental unit;
;Entire rental unit;
;Entire rental unit;
;Entire rental unit;
;Private room in home;
;Entire rental unit;
;Entire rental unit;
;Entire rental unit;
;Entire rental unit;
;Entire home;
;Entire rental unit;
;Entire rental unit;
;Entire rental unit;
;Entire rental unit;
;Entire condo;
;Entire rental unit;
;Entire rental unit;
;Entire rental unit;
;Entire condo;
;Entire rental unit;
;Private room in condo;
;Entire rental unit;
;Private room in home;
;Private room in rental unit;
;Entire rental unit;
;Private room in rental unit;
;Entire rental unit;
;Entire rental unit;
;Entire rental unit;
;Entire rental unit;
;Private room in rental unit;
;Entire rental unit;
;Entire rental unit;
;Entire rental unit;
;Entire home;
;Entire rental unit;
;Entire rental unit;
;Entire rental unit;
;Entire rental unit;
;Entire rental unit;
;Entire rental unit;
;Entire rental unit;
;Entire rental unit;
;Entire rental unit;
;Private room in rental unit;
;Entire rental unit;
;Private room in rental unit;
;Entire rental unit;
;Entire rental unit;
;Entire rental unit;
;Entire rental unit;
;Entire rental unit;
;Entire loft;
;Entire rental unit;
;Private room in rental unit;
;Entire rental unit;
;Entire rental unit;
;Entire rental unit;
;Entire rental unit;
;Entire rental unit;
;Private room in rental unit;
;Entire rental unit;
;Private room in rental unit;
;Entire rental unit;
;Private room in home;
;Entire rental unit;
;Private room in rental unit;
;Shared room in hostel;
;Entire rental unit;
;Private room in rental unit;
;Entire rental unit;
;Private room in townhouse;
;Entire condo;
;Private room in home;
;Shared room in loft;
;Private room in rental unit;
;Entire condo;
;Entire rental unit;
;Private room in rental unit;
;Entire rental unit;
;Entire rental unit;
;Entire rental unit;
;Entire condo;
;Entire rental unit;
;Entire rental unit;
;Entire rental unit;
;Private room in rental unit;
;Private room in rental unit;
;Private room in rental unit;
;Private room in home;
;Private room in rental unit;
;Entire home;
;Private room in rental unit;
;Entire rental unit;
;Private room in condo;
;Private room in rental unit;
;Entire rental unit;
;Entire rental unit;
;Private room in home;
;Entire rental unit;
;Entire rental unit;
;Private room in rental unit;
;Private room in rental unit;
;Private room in rental unit;
;Entire rental unit;
;Private room in rental unit;
;Entire rental unit;
;Private room in rental unit;
;Entire rental unit;
;Room in serviced apartment;
;Entire rental unit;
;Entire rental unit;
;Private room in rental unit;
;Shared room in home;
;Entire rental unit;
;Entire rental unit;
;Entire rental unit;
;Private room in rental unit;
;Entire rental unit;
;Entire condo;
;Entire rental unit;
;Entire rental unit;
;Private room in rental unit;
;Private room in rental unit;
;Private room in bed and breakfast;
;Entire rental unit;
;Private room in home;
;Private room in rental unit;
;Entire loft;
;Entire rental unit;
;Entire condo;
;Private room in rental unit;
;Entire condo;
;Entire rental unit;
;Private room in rental unit;
;Entire home;
;Entire rental unit;
;Entire rental unit;
;Private room in rental unit;
;Private room;
;Entire rental unit;
;Entire serviced apartment;
;Tiny home;
;Entire rental unit;
;Entire rental unit;
;Entire rental unit;
;Private room in rental unit;
;Private room in rental unit;
;Entire rental unit;
;Private room in rental unit;
;Entire rental unit;
;Entire rental unit;
;Entire condo;
;Entire rental unit;
;Private room in home;
;Entire rental unit;
;Private room in rental unit;
;Entire loft;
;Private room in rental unit;
;Entire rental unit;
;Entire rental unit;
;Private room in rental unit;
;Entire rental unit;
;Private room in rental unit;
;Entire rental unit;
;Entire rental unit;
;Entire loft;
;Private room in home;
;Entire rental unit;
;Entire rental unit;
;Entire loft;
;Private room in rental unit;
;Entire rental unit;
;Entire rental unit;
;Entire rental unit;
;Private room in rental unit;
;Private room in rental unit;
;Entire rental unit;
;Entire rental unit;
;Private room in rental unit;
;Entire rental unit;
;Private room in rental unit;
;Private room in rental unit;
;Private room in rental unit;
;Private room in rental unit;
;Entire rental unit;
;Private room in home;
;Private room in rental unit;
;Entire rental unit;
;Entire condo;
;Private room in rental unit;
;Entire rental unit;
;Entire rental unit;
;Private room in rental unit;
;Private room in home;
;Entire rental unit;
;Entire rental unit;
;Entire rental unit;
;Private room in home;
;Private room in home;
;Entire rental unit;
;Entire condo;
;Entire rental unit;
;Entire rental unit;
;Private room in home;
;Private room in rental unit;
;Entire rental unit;
;Entire rental unit;
;Private room in rental unit;
;Entire rental unit;
;Entire rental unit;
;Entire rental unit;
;Entire home;
;Entire rental unit;
;Private room in home;
;Private room in rental unit;
;Entire rental unit;
;Private room in rental unit;
;Entire rental unit;
;Entire rental unit;
;Entire rental unit;
;Shared room in rental unit;
;Entire rental unit;
;Entire rental unit;
;Entire rental unit;
;Private room in home;
;Entire rental unit;
;Entire loft;
;Entire rental unit;
;Private room in rental unit;
;Private room in rental unit;
;Private room in rental unit;
;Private room;
;Private room in rental unit;
;Entire rental unit;
;Shared room in rental unit;
;Private room in rental unit;
;Entire rental unit;
;Entire rental unit;
;Entire rental unit;
;Entire home;
;Private room in rental unit;
;Private room in hostel;
;Private room in rental unit;
;Entire home;
;Entire rental unit;
;Private room;
;Private room;
;Entire rental unit;
;Entire home;
;Entire rental unit;
;Private room in rental unit;
;Entire rental unit;
;Entire condo;
;Private room in rental unit;
;Private room in rental unit;
;Entire rental unit;
;Entire rental unit;
;Entire rental unit;
;Entire rental unit;
;Private room in home;
;Entire rental unit;
;Entire condo;
;Private room in rental unit;
;Private room in condo;
;Private room in rental unit;
;Entire home;
;Private room in rental unit;
;Private room in home;
;Private room in home;
;Entire rental unit;
;Private room in rental unit;
;Entire rental unit;
;Entire home;
;Entire rental unit;
;Private room in home;
;Private room in home;
;Entire rental unit;
;Entire rental unit;
;Entire rental unit;
;Private room in rental unit;
;Private room in home;
;Private room in rental unit;
;Entire rental unit;
;Entire rental unit;
;Private room in rental unit;
;Private room in home;
;Private room in home;
;Private room in rental unit;
;Entire rental unit;
;Entire rental unit;
;Entire rental unit;
;Private room in rental unit;
;Private room in rental unit;
;Entire loft;
;Private room in rental unit;
;Private room in rental unit;
;Private room in condo;
;Private room in rental unit;
;Entire condo;
;Entire rental unit;
;Entire rental unit;
;Private room in rental unit;
;Entire rental unit;
;Entire rental unit;
;Entire villa;
;Private room in home;
;Private room in home;
;Entire rental unit;
;Entire rental unit;
;Private room in home;
;Entire condo;
;Entire rental unit;
;Private room in rental unit;
;Entire rental unit;
;Entire rental unit;
;Entire rental unit;
;Private room in rental unit;
;Private room in home;
;Entire rental unit;
;Private room in condo;
;Private room in rental unit;
;Private room in home;
;Entire home;
;Entire rental unit;
;Private room in rental unit;
;Entire rental unit;
;Entire condo;
;Private room in rental unit;
;Entire rental unit;
;Entire rental unit;
;Private room in guest suite;
;Private room in home;
;Entire rental unit;
;Entire rental unit;
;Private room in rental unit;
;Entire rental unit;
;Private room in home;
;Entire rental unit;
;Entire condo;
;Private room in home;
;Private room in rental unit;
;Entire rental unit;
;Private room in rental unit;
;Entire condo;
;Entire condo;
;Entire rental unit;
;Entire rental unit;
;Private room in rental unit;
;Private room in rental unit;
;Private room in home;
;Entire rental unit;
;Entire loft;
;Entire rental unit;
;Entire rental unit;
;Entire cabin;
;Entire home;
;Entire place;
;Entire rental unit;
;Private room in rental unit;
;Entire rental unit;
;Entire loft;
;Private room in rental unit;
;Entire rental unit;
;Entire rental unit;
;Shared room in home;
;Entire rental unit;
;Entire rental unit;
;Private room in rental unit;
;Entire rental unit;
;Entire home;
;Private room in rental unit;
;Entire rental unit;
;Private room in home;
;Private room in home;
;Entire rental unit;
;Private room in rental unit;
;Private room in rental unit;
;Private room in rental unit;
;Private room in rental unit;
;Entire rental unit;
;Entire rental unit;
;Entire rental unit;
;Entire rental unit;
;Private room in rental unit;
;Entire rental unit;
;Entire condo;
;Entire condo;
;Entire rental unit;
;Private room in rental unit;
;Entire rental unit;
;Entire rental unit;
;Entire rental unit;
;Private room in rental unit;
;Private room in rental unit;
;Entire rental unit;
;Private room in rental unit;
;Private room in condo;
;Private room in rental unit;
;Private room in home;
;Shared room in home;
;Private room in serviced apartment;
;Entire rental unit;
;Shared room in home;
;Entire rental unit;
;Private room in home;
;Entire rental unit;
;Private room in rental unit;
;Entire home;
;Private room in rental unit;
;Entire rental unit;
;Entire rental unit;
;Entire rental unit;
;Entire rental unit;
;Entire rental unit;
;Private room in rental unit;
;Entire rental unit;
;Entire rental unit;
;Private room in rental unit;
;Private room in rental unit;
;Private room in rental unit;
;Entire rental unit;
;Entire rental unit;
;Entire rental unit;
;Private room in home;
;Private room in home;
;Private room in rental unit;
;Private room in rental unit;
;Private room in rental unit;
;Private room in guest suite;
;Entire condo;
;Entire rental unit;
;Private room in rental unit;
;Private room in rental unit;
;Entire condo;
;Entire loft;
;Private room in rental unit;
;Entire rental unit;
;Entire rental unit;
;Entire rental unit;
;Entire rental unit;
;Entire rental unit;
;Private room in rental unit;
;Private room in rental unit;
;Entire rental unit;
;Private room in rental unit;
;Entire rental unit;
;Entire rental unit;
;Private room in condo;
;Private room in rental unit;
;Private room in rental unit;
;Entire condo;
;Entire rental unit;
;Private room in condo;
;Entire rental unit;
;Entire rental unit;
;Private room in rental unit;
;Private room in rental unit;
;Entire rental unit;
;Private room in condo;
;Private room in rental unit;
;Entire rental unit;
;Entire rental unit;
;Private room in rental unit;
;Private room in rental unit;
;Entire rental unit;
;Private room in condo;
;Entire rental unit;
;Private room in serviced apartment;
;Entire rental unit;
;Entire condo;
;Private room in rental unit;
;Entire rental unit;
