Tipus propietat;property_type;FREQUENCIA;;;;;;;
Entire home;Entire home;320;;;;;;;
Entire rental unit;Entire rental unit;3197;;;;;;;
Private room in rental unit;Private room in rental unit;923;;;;;;;
Private room in nature lodge;Private room in nature lodge;3;;;;;;;
Private room in home;Private room in home;334;;;;;;;
Entire loft;Private room in home;21;;;;;;;
Private room in condo;Entire rental unit;569;;;;;;;
Boat;Entire loft;2;;;;;;;
Private room in bed and breakfast;Entire rental unit;92;;;;;;;
Entire condo;Private room in rental unit;1431;;;;;;;
Room in boutique hotel;Private room in condo;73;;;;;;;
Entire townhouse;Private room in condo;83;;;;;;;
Entire villa;Entire rental unit;12;;;;;;;
Private room in townhouse;Boat;133;;;;;;;
Private room in guest suite;Entire rental unit;13;;;;;;;
Entire serviced apartment;Entire rental unit;117;;;;;;;
Room in serviced apartment;Entire loft;4;;;;;;;
Farm stay;Entire rental unit;1;;;;;;;
Entire cottage;Private room in rental unit;48;;;;;;;
Entire guest suite;Entire rental unit;38;;;;;;;
Private room in bungalow;Entire rental unit;29;;;;;;;
Entire bungalow;Entire rental unit;19;;;;;;;
Entire guesthouse;Entire rental unit;17;;;;;;;
Shared room in hostel;Entire rental unit;21;;;;;;;
Private room in cottage;Entire rental unit;12;;;;;;;
Campsite;Entire rental unit;1;;;;;;;
Room in hostel;Private room in bed and breakfast;44;;;;;;;
Private room in serviced apartment;Private room in condo;7;;;;;;;Edinburgh
Room in hotel;Private room in condo;51;;;;;MEDIA;;147,509434
Private room in villa;Private room in rental unit;9;;;;;MODA;;1
Private room in guesthouse;Entire rental unit;46;;;;;MEDIANA;;13
Entire chalet;Entire rental unit;2;;;;;;;
Private room in loft;Private room in condo;4;;;;;;;
Room in aparthotel;Private room in home;20;;;;;;;
Private room;Private room in rental unit;2;;;;;;;
Tiny home;Entire condo;7;;;;;;;
Private room in tiny home;Private room in rental unit;2;;;;;;;
Entire place;Private room in rental unit;3;;;;;;;
Entire cabin;Private room in home;4;;;;;;;
Camper/RV;Entire rental unit;17;;;;;;;
Shared room in rental unit;Room in boutique hotel;1;;;;;;;
Private room in hostel;Private room in bed and breakfast;22;;;;;;;
Barn;Private room in bed and breakfast;1;;;;;;;
Windmill;Entire rental unit;1;;;;;;;
Private room in casa particular;Entire condo;28;;;;;;;
Hut;Entire rental unit;2;;;;;;;
Entire vacation home;Entire townhouse;23;;;;;;;
Private room in vacation home;Entire rental unit;4;;;;;;;
Shared room in condo;Entire rental unit;1;;;;;;;
Shared room in vacation home;Entire rental unit;1;;;;;;;
Private room in farm stay;Entire rental unit;1;;;;;;;
Room in bed and breakfast;Private room in condo;1;;;;;;;
Castle;Private room in rental unit;1;;;;;;;
;Private room in home;;;;;;;;
;Private room in rental unit;;;;;;;;
;Entire condo;;;;;;;;
;Entire villa;;;;;;;;
;Private room in townhouse;;;;;;;;
;Entire rental unit;;;;;;;;
;Private room in condo;;;;;;;;
;Entire rental unit;;;;;;;;
;Entire rental unit;;;;;;;;
;Private room in home;;;;;;;;
;Entire rental unit;;;;;;;;
;Private room in home;;;;;;;;
;Private room in home;;;;;;;;
;Private room in guest suite;;;;;;;;
;Private room in rental unit;;;;;;;;
;Private room in rental unit;;;;;;;;
;Entire rental unit;;;;;;;;
;Entire rental unit;;;;;;;;
;Entire rental unit;;;;;;;;
;Entire rental unit;;;;;;;;
;Entire rental unit;;;;;;;;
;Entire rental unit;;;;;;;;
;Entire rental unit;;;;;;;;
;Private room in condo;;;;;;;;
;Entire rental unit;;;;;;;;
;Entire condo;;;;;;;;
;Entire condo;;;;;;;;
;Entire rental unit;;;;;;;;
;Entire rental unit;;;;;;;;
;Entire home;;;;;;;;
;Entire condo;;;;;;;;
;Private room in home;;;;;;;;
;Entire rental unit;;;;;;;;
;Entire rental unit;;;;;;;;
;Entire rental unit;;;;;;;;
;Entire rental unit;;;;;;;;
;Entire rental unit;;;;;;;;
;Entire rental unit;;;;;;;;
